id,title,genres,averageRating,releaseYear
336,Maanaadu,"Action, Adventure, Sci-Fi",8.2,2021
337,Khosla Ka Ghosla!,"Comedy, Crime, Drama",8.2,2006
338,Close-Up,"Biography, Crime, Drama",8.2,1990
339,Rocco and His Brothers,"Crime, Drama, Sport",8.2,1960
340,The Young and the Damned,"Crime, Drama",8.2,1950
341,Late Spring,"Comedy, Drama",8.2,1949
342,Hi Nanna,"Drama, Family, Romance",8.2,2023
343,Ivan Vasilyevich Changes His Profession,"Adventure, Comedy, Sci-Fi",8.2,1973
344,Paris Is Burning,Documentary,8.2,1990
345,Super Deluxe,"Comedy, Crime, Drama",8.2,2019
346,Paradise Lost: The Child Murders at Robin Hood Hills,"Crime, Documentary",8.2,1996
347,Life and a Day,Drama,8.2,2016
348,A Face in the Crowd,"Drama, Music",8.2,1957
349,Lion of the Desert,"Biography, Drama, History",8.2,1980
350,Ghilli,"Action, Drama, Romance",8.2,2004
351,Ordet,Drama,8.2,1955
352,Shahid,"Biography, Drama",8.2,2012
353,Theeran Adhigaram Ondru,"Action, Crime, Thriller",8.2,2017
354,Ustad Hotel,"Comedy, Drama",8.2,2012
355,Satya,"Action, Crime, Drama",8.2,1998
356,Dhuruvangal Pathinaaru,"Crime, Drama, Mystery",8.2,2016
357,The Diamond Arm,"Adventure, Comedy, Crime",8.2,1969
358,Aparajito,Drama,8.2,1956
359,Athadu,"Action, Crime, Drama",8.2,2005
360,Vaaranam Aayiram,"Action, Drama, Musical",8.2,2008
361,I Am a Fugitive from a Chain Gang,"Crime, Drama, Film-Noir",8.2,1932
362,Pocket Hercules: Naim Süleymanoglu,"Biography, Drama, History",8.2,2019
363,Jigarthanda,"Comedy, Crime, Drama",8.2,2014
364,A Brighter Summer Day,"Crime, Drama, Romance",8.2,1991
365,Champion,"Biography, Drama, Romance",8.2,2018
366,The Easy Life,"Comedy, Drama",8.2,1962
367,Satantango,Drama,8.2,1994
368,The Remarkable Life of Ibelin,"Animation, Biography, Documentary",8.2,2024
369,Ballad of a Soldier,"Drama, Romance, War",8.2,1959
370,I Am Cuba,Drama,8.2,1964
371,The Ascent,"Drama, War",8.2,1977
372,Office Romance,"Comedy, Drama, Romance",8.2,1977
373,Viduthalai: Part 1,"Action, Crime, Drama",8.2,2023
374,Ne Zha 2,"Action, Adventure, Animation",8.2,2025
375,Hope,Drama,8.2,2013
376,Bommarillu,"Comedy, Drama, Romance",8.2,2006
377,The Shop on Main Street,"Drama, War",8.2,1965
378,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",8.1,2003
379,V for Vendetta,"Action, Drama, Sci-Fi",8.1,2005
380,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",8.1,2015
381,Catch Me If You Can,"Biography, Crime, Drama",8.1,2002
382,Gone Girl,"Drama, Mystery, Thriller",8.1,2014
383,"Monsters, Inc.","Adventure, Animation, Comedy",8.1,2001
384,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",8.1,2011
385,The Terminator,"Action, Adventure, Sci-Fi",8.1,1984
386,The Grand Budapest Hotel,"Comedy, Drama",8.1,2014
387,The Big Lebowski,"Comedy, Crime",8.1,1998
388,Logan,"Action, Drama, Sci-Fi",8.1,2017
389,Ratatouille,"Adventure, Animation, Comedy",8.1,2007
390,Inside Out,"Adventure, Animation, Comedy",8.1,2015
391,Blade Runner,"Action, Drama, Sci-Fi",8.1,1982
392,How to Train Your Dragon,"Action, Adventure, Animation",8.1,2010
393,Gran Torino,Drama,8.1,2008
394,12 Years a Slave,"Biography, Drama, History",8.1,2013
395,Fargo,"Crime, Drama, Thriller",8.1,1996
396,Trainspotting,Drama,8.1,1996
397,Million Dollar Baby,"Drama, Sport",8.1,2004
398,Jaws,"Adventure, Drama, Horror",8.1,1975
399,Rocky,"Drama, Sport",8.1,1976
400,Hacksaw Ridge,"Biography, Drama, History",8.1,2016
401,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",8.1,1998
402,Dead Poets Society,"Comedy, Drama",8.1,1989
403,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",8.1,2017
404,Rush,"Biography, Drama, Sport",8.1,2013
405,Ford v Ferrari,"Action, Biography, Drama",8.1,2019
406,Spotlight,"Biography, Crime, Drama",8.1,2015
407,Warrior,"Action, Drama, Sport",8.1,2011
408,The Help,Drama,8.1,2011
409,The Exorcist,Horror,8.1,1973
410,Room,"Drama, Thriller",8.1,2015
411,Stand by Me,"Adventure, Comedy, Drama",8.1,1986
412,Platoon,"Drama, War",8.1,1986
413,The Wizard of Oz,"Adventure, Family, Fantasy",8.1,1939
414,My Neighbor Totoro,"Animation, Comedy, Family",8.1,1988
415,Raging Bull,"Biography, Drama, Sport",8.1,1980
416,Hotel Rwanda,"Biography, Drama, History",8.1,2004
417,The Deer Hunter,"Drama, War",8.1,1978
418,Chinatown,"Drama, Mystery, Thriller",8.1,1974
419,Before Sunrise,"Comedy, Drama, Romance",8.1,1995
420,Hachi: A Dog's Tale,"Biography, Drama, Family",8.1,2009
421,Before Sunset,"Drama, Romance",8.1,2004
422,The Sound of Music,"Biography, Drama, Family",8.1,1965
423,Ben-Hur,"Adventure, Drama",8.1,1959
424,The Iron Giant,"Action, Adventure, Animation",8.1,1999
425,The Bridge on the River Kwai,"Adventure, Drama, War",8.1,1957
426,Memories of Murder,"Crime, Drama, Mystery",8.1,2003
427,Wild Tales,"Comedy, Drama, Thriller",8.1,2014
428,La haine,"Crime, Drama",8.1,1995
429,PK,"Comedy, Drama, Sci-Fi",8.1,2014
430,The Seventh Seal,"Drama, Fantasy",8.1,1957
431,Mary and Max,"Animation, Comedy, Drama",8.1,2009
432,In the Name of the Father,"Biography, Crime, Drama",8.1,1993
433,Barry Lyndon,"Adventure, Drama, War",8.1,1975
434,The Third Man,"Drama, Film-Noir, Mystery",8.1,1949
435,The Handmaiden,"Drama, Romance, Thriller",8.1,2016
436,Network,Drama,8.1,1976
437,In the Mood for Love,"Drama, Romance",8.1,2000
438,On the Waterfront,"Crime, Drama, Thriller",8.1,1954
439,Rebecca,"Drama, Mystery, Romance",8.1,1940
440,"Paris, Texas",Drama,8.1,1984
441,Mr. Smith Goes to Washington,"Comedy, Drama",8.1,1939
442,Rang De Basanti,"Comedy, Crime, Drama",8.1,2006
443,Lagaan: Once Upon a Time in India,"Drama, Musical, Sport",8.1,2001
444,The Gold Rush,"Adventure, Comedy, Drama",8.1,1925
445,Wild Strawberries,"Drama, Romance",8.1,1957
446,A Silent Voice: The Movie,"Animation, Drama",8.1,2016
447,Portrait of a Lady on Fire,"Drama, Romance",8.1,2019
